userName,score,at,label_data,content
Richard De Fretes,5,11/22/2022 5:50,positif,membantu belanja online jadi lebih mudah
jeje jibob,5,11/22/2022 5:50,positif,"Sangat baik pelayanannya di Shopee, suka pakai fitur shopeepay untuk belanja"
Tegar Pangestu,1,11/22/2022 5:49,negatif,"Saya isi pulsa, tapi gak masuk saldonya,, bingung jadinya 😡"
Gina Andut,5,11/22/2022 5:48,positif,"Sangat memudahkan saya untuk berbelanja kebutuhan, mudah juga karena bisa pakai shopeepay�"
Andhika Pratama,2,11/22/2022 5:48,negatif,"Kecewa sama gopay,, waktu kirim uang gagal sampai coba berulang-ulang.. "
Alima Shalha,5,11/22/2022 5:46,positif,"Puas belanja di shopee, bisa bayar pakai shopeepay kalau malas bayar ke atm"
Hidayatulloh Hiday,2,11/22/2022 5:44,negatif,"susah masuk setelah update aplikasi,, kenapa ovo semakin banyak masalah??"
Bagusceming Bagus,1,11/22/2022 5:42,negatif,Saya kirim ke rekening saya lama sekali sampe 1 hari saya tungguin belum bisa juga
Yamani Hs,2,11/22/2022 5:41,negatif,"Kenapa sekarang performa dari aplikasi dana menurun menurut saya,sering sistem sibuk"
ABIS MC,5,11/22/2022 5:40,positif,"luar biasa Mantap,, Bisa mengalahkan yang lain. Untuk sekarang bagus banget Aplikasi Link Aja, Semakin mudah transaksi"
Mail Le,5,11/22/2022 5:40,positif,"bagus, ayo pakai shopeepay saja dijamin puas"
Velin's Art,5,11/22/2022 5:38,positif,"Sangat membantu untuk bayar listrik pakai shopeepay,, tidak perlu keluar rumah"
Cici Saputri,5,11/22/2022 5:37,positif,"mudah kalau belanja bisa beli semuanya di shopee,, langsung bayar dengan shopeepay,,😊😊"
liz liz,1,11/22/2022 5:37,negatif,Saldo saya hilang.. ada transaksi isi pulsa dari pihak lain.. sudah laporan tapi susah respon ..
Agus,5,11/22/2022 5:36,positif,keren semua jadi lebih mudah dan cepat
Amin Sidiq,5,11/22/2022 5:36,positif,segalanya jadi lebih mudah dengan DANA
Sri Wulandari,5,11/22/2022 5:35,positif,aplikasi sangat membantu saya untuk melakukan pembayaran tagihan
Raufa Solo,5,11/22/2022 5:34,positif,"Mantap banget,, semua mudah dan keren shoope sukses selalu. Shopeepay fiturnya keren sekali.. Banyak untungnya jaya selalu"
suryo dpmb,3,11/22/2022 5:34,negatif,"Sering eror sendiri, aneh sekali sekarang,, padahal sering pakai shopeepay"
Sofia First,1,11/22/2022 5:33,negatif,Kenapa pembayaran shopeepay selalu menunggu?? mau beli harus batal karena terkendala pembayaran
Rosita Istriku,5,11/22/2022 5:31,positif,Sangat bermanfaat untuk orang yang malas keluar seperti saya
Mbahzeus Gasor,5,11/22/2022 5:31,positif,"Bagus sejauh ini, aman digunakan transaksi"
Asanti Emi,5,11/22/2022 5:31,positif,Saya suka dengan aplikasi ini. Untuk beli langsung di aplikasi ini. shopepay sangat membantu pembelanjaan online
Cecep Saepudin,5,11/22/2022 5:29,positif,"mantap dana,, selalu jadi transaksi online nomor satu"
Susanto Annur,5,11/22/2022 5:28,positif,"Aplikasi sangat membantu disaat kita butuh keperluan barang lalu bayar dengan shopeepay,,"
Koswara Surasa,4,11/22/2022 5:28,positif,"Harga murah, ada gratis ongkir, ada fitur bayarnya pakai shopeepay,,"
Rahmat Hidayat,3,11/22/2022 5:27,negatif,"banyak eror yang tidak diinginkan, takut tiba-tiba transfer shopeepay saldo hilang"
Kampung Cigombong,2,11/22/2022 5:26,negatif,Kenapa nomor Saya sulit daftar ovo? Jadi malas pakai ovo kalau sering eror
Miko Nadya,2,11/22/2022 5:25,negatif,"shopee semakin mahal, pakai shopeepay juga sama saja biayanya mahal"
Reyhan Aziz,4,11/22/2022 5:23,positif,"Memudahkan kirim uang ke kampung, agar keluarga juga bisa menikmati"
R Amw,5,11/22/2022 5:23,positif,"Aplikasinya bagus saya bisa beli barang yg saya butuhkan, terima kasih"
Nur Asiah,4,11/22/2022 5:22,positif,baik dan cepat.. Pasti karena kualitas tidak diragukan
Yanu Fushshilat,5,11/22/2022 5:21,positif,Bagus banget bisa beli semuanya di shopee.. Bayarnya langsung pakai shopeepay
Sulvira,2,11/22/2022 5:21,negatif,"Ongkir semakin mahal, lebih mahal ongkir daripada makananya padahal bayar pakai gopay dan lokasi dekat.."
Aku Wis bisa,1,11/22/2022 5:21,negatif,"Aplikasi Jelek� sering eror, gagal masuk, ovo kenapa ya sekarang??"
Ri Yan,4,11/22/2022 5:20,positif,"sangat cepat transfernya, bisa digunakan dengan baik"
Bang One,1,11/22/2022 5:20,negatif,"Aplikasi dibuka lama sekali,, habis kuota. Saya butuh shopeepay untuk ambil saldo"
Mirna Sri Wahyuni,5,11/22/2022 5:19,positif,"pakai dana semuanya jadi mudah pokoknya, tidak diragukan"
purnawan indra,5,11/22/2022 5:19,positif,"selalu aman kalau pakai shopeepay, kirim saldo cepat"
Dian Ramadhanty,1,11/22/2022 5:19,negatif,"Cari produk dan buka shopeepay lama banget, aplikasi semakin lama semakin lemot"
tae zhid,5,11/22/2022 5:18,positif,"ganti shopeepay saja, dijamin aman dan puas"
Ari Solihin,5,11/22/2022 5:16,positif,Memudahkan transaksi dan lebih hemat belanja
Muhammad Hafizh,5,11/22/2022 5:16,positif,"sangat membantu saya,, terutama shopeepay bagus. Terima kasih"
selly puspitasari,1,11/22/2022 5:15,negatif,"Ini sudah akun premium, tapi mau kirim uang gak bisa..tolong..urgent ini"
ADI YATI,5,11/22/2022 5:14,positif,"Baru pertama kali belanja lewat shopee,hasilnya sangat memuaskan,, tinggal bayar di shopeepay"
mukti sa'bani,5,11/22/2022 5:14,positif,"Terbaik fitur shopeepay,, transfernya mudah sekali, gak ribet 👍💯"
Galih Purnama,1,11/22/2022 5:14,negatif,"Gak berguna, hanya ngeribetin aja pemakainya"
Reza Pramudita Kusuma Kusuma,1,11/22/2022 5:14,negatif,"Aplikasinya kurang bagus, gak bisa buka shopeepay, jaringannya atau apa memang lemot banget??"
M.ikhsan nurhuda,1,11/22/2022 5:14,negatif,"Lemot banget aplikasinya selalu gangguan, hanya mau buka shopeepay"
Erni Nuraeni,5,11/22/2022 5:13,positif,Pokoknya bagus selalu shopee.. Shopeepay bisa diandalkan untuk metode pembayaran dimanapun
Om Duta,5,11/22/2022 5:12,positif,"Sangat membantu cari barang, bayar langsung pakai shopeepay"
Dwi Putri Maharani,1,11/22/2022 5:12,negatif,"Pembaruan sekarang aneh, setiap pencarian harus verifikasi lagi, shopeepay eror, fitur banyak dan berat."
Abraham Marthen,5,11/22/2022 5:11,positif,Mantap menghemat belanja dan bisa lebih efisien
Alvina Hikmah,1,11/22/2022 5:10,negatif,"kecewa sama shopee bayar berhasil di shopeepay, tapi tidak bisa diperbarui dan harus perbarui sendiri"
wawan darmawan pictures,5,11/22/2022 5:08,positif,"Terima kasih uang saya kembali, semoga sukses dana"
Resa Ary putra,5,11/22/2022 5:05,positif,"lebih aman dan praktis,, mau pakai shopeepay tidak ada saldonya 🙏👍"
Junah Rait,3,11/22/2022 5:02,negatif,Tolong di perbaiki ini aplikasinya.. dana saya gak bisa dibuka dari kemarin..
Hobi Nafas,3,11/22/2022 5:02,negatif,"Tolong perbaiki, servernya sering lemot,, buka shopeepay eror"
Random Sikat,5,11/22/2022 5:01,negatif,"Kenapa sekarang fiturnya berkurang? Aneh, padahal saya sering transaksi pakai dana"
Anggrit Nardianto,2,11/22/2022 5:01,negatif,"Coba isi saldo, tapi saldonya gak muncul"
Miftahul Afika,1,11/22/2022 5:01,negatif,"Transfer selalu gagal,, jadinya kecewa sama ovo"
nabila bintang,3,11/22/2022 5:01,negatif,"Aplikasinya sedikit gratis ongkir, biaya layanan kalau bayar pakai shopeepay tetap mahal"
Marsudi Bae,5,11/22/2022 5:00,positif,"Oke, tapi transaksi gratis hanya 10 kali,,mungkin bisa ditambah lagi!!"
lucia trisnaningsih,5,11/22/2022 4:58,positif,Suka sekali belanja di Shopee. Apalagi ada pembayarannya pakai shopeepay.
Nara Cibay Official,3,11/22/2022 4:58,negatif,"Kenapa sekarang susah ya ,mau tarik tunai lama banget.."
bastian marbun,5,11/22/2022 4:56,positif,aplikasinya praktis dan aman digunakan🙏👍
Dinda Aprilia,5,11/22/2022 4:56,positif,"Memudahkan semua transaksi belanja,, karena bayarnya bisa lewat shopeepay 🥰"
Chasanaeh Nur,3,11/22/2022 4:56,negatif,Kenapa dana saya lemot dan gak bisa dibuka?? Malas kalau begini
Ajeng Rahmat,3,11/22/2022 4:56,negatif,Sekarang pakai gopay kenapa gak bisa pakai promonya ya? Sedih!!
Siti Datiah,1,11/22/2022 4:56,negatif,"Sedih banget sekarang sama shopee,, biaya penanganan mahal, meskipun pakai shopeepay.."
Ocih Sukarsih,5,11/22/2022 4:55,negatif,"kecewa, dana sudah update tapi tetap gagal,, tolong bantuannya..."
Adhitya Wiratama,1,11/22/2022 4:53,negatif,"Tolong diperbaiki fitur shopeepay, sering eror, mau transfer gak bisa"
Arthur rikardo Ricardo,5,11/22/2022 4:52,positif,sangat bermanfaat untuk belanja online juga
Erma Yunita,5,11/22/2022 4:52,positif,"Senang berbelanja karena ada potongan harga dan ada gratis ongkir, kalau bayar pakai shopeepay"
yoyoksilfi ayauyu,5,11/22/2022 4:52,negatif,Ini bagaimana? Gangguan? Kenapa saya gak bisa update dana?
Curtcobainz Cobainz,2,11/22/2022 4:52,negatif,Ini saya mau verifikasi email selalu gagal kenapa?? Heran dengan aplikasi ini ribet
Pyo Pyo,1,11/22/2022 4:52,negatif,"shopee sudah pelit,, bayar shopeepay biasanya gratis ongkir"
Dyan Ayudya,1,11/22/2022 4:52,negatif,Kok shopee sekarang lemot ya. Padahal buka youtube lancar tapi buka shopeepay lemot tolong di perbaiki. belanja jadi susah
Yoga Kurniawan,5,11/22/2022 4:50,positif,"Sangat bagus dan keren,,  apalagi bayar belanja bisa pakai shopeepay agar dapat gratis ongkir"
Abdillah Fetih,5,11/22/2022 4:50,positif,"Shopeepay, terima kasih sudah membantu keuangan saya,, bisa belanja kebutuhan rumah dengan mudah"
klisin 745,5,11/22/2022 4:50,negatif,"Sekarang mau dibuka eror,, padahal lagi butuh kirim saldo"
LowBudget Angler,1,11/22/2022 4:50,negatif,"Daftar selalu gagal,Shopeepay kadang gangguan.. Padahal sudah sering beli barang disini, parah"
Herman Sucrespo,5,11/22/2022 4:48,positif,Memudahkan dalam belanja apapun itu.. Bayar juga mudah dengan shopeepay
Made Sukarata,5,11/22/2022 4:46,positif,Saya baru buat aplikasi jadi saya baru mau menggunakan
ilya puspita,2,11/22/2022 4:45,negatif,Kenapa saya isi shopeepay tapi belum masuk juga padahal sudah beberapa jam
Keika kyna,1,11/22/2022 4:43,negatif,"kenapa udah 2 hari ini selalu gagal transfer.. kecewa, soalnya lagi butuh banget."
Mulyadi Abdullah,5,11/22/2022 4:42,positif,"sangat membantu, keren banget selalu bisa diandalkan"
Intan Airinie,5,11/22/2022 4:42,positif,bagus dan mudah kirim uang kemana saja
Haris Aim,3,11/22/2022 4:42,negatif,"bonus sudah menghilang,, padahal sering bayar di shopeepay"
Darwis A Darwis A,5,11/22/2022 4:41,positif,Semoga lancar selalu buat shopeepay terutama karena sering bayar tagihan dan pulsa
Elank Kurniawan,5,11/22/2022 4:41,positif,"Shopee paling mengerti hidup ini,,, saya bisa menggunakan shopeepay untuk belanja"
Devalo Akhmad Ramadhan,1,11/22/2022 4:40,negatif,dana transfer saya hilang sudah 3 hari uangnya lari kemana??
Anie Adja,3,11/22/2022 4:39,negatif,"Aplikasinya terlalu berat,, Cuma butuh shopeepay makanya pakai.. ongkir juga semakin mahal,,,"
Ida Herlinda,5,11/22/2022 4:38,positif,"Puas setiap belanja sejauh ini,, saya juga sering menggunakan shopeepay untuk transfer saldo"
Liana Adrawi,1,11/22/2022 4:38,negatif,Aplikasi jelek. Mengajukan pengembalian dana gagal lewat shopeepay.
Adam Santoso,5,11/22/2022 4:37,positif,"Tingkatkan kualitas dan kuantitas shopee agar semakin keren, shopeepay semoga lancar..."
BONDO OneI,5,11/22/2022 4:37,positif,"Sangat membantu , banyak pilihan.. shopee menjadi salah satu aplikasi online yang jadi pilihan karena ada shopeepay"
Isral Rifqi,1,11/22/2022 4:36,negatif,"aplikasi buruk, transfer dari kemaren gak bisa"",,"
Lilyanti Syahrir,5,11/22/2022 4:35,positif,"mudah dan pasti aman, selalu bagus dana"
Yu Menuk,5,11/22/2022 4:34,positif,"saya senang pakai dana,, mudah digunakan untuk berbagai keperluan"
Irwan Mayadi,4,11/22/2022 4:34,positif,"sangat bagus nih aplikasi dana,, pantas jadi aplikasi digital terbaik"
Ella Cynthia,2,11/22/2022 4:32,negatif,Aplikasi minta update saat itu. Ini gopay juga gak bisa dibuka .. Buat emosi
Robi Binoy,2,11/22/2022 4:31,negatif,"aplikasinya aneh banget,, buka shopeepay jadi lama"
XINN Think,1,11/22/2022 4:31,negatif,"Sangat buruk, saldo shopeepay tidak dikembalikan padahal belanja dibatalkan. 🙏🏻"
Muhamad Sulaiman Leman,1,11/22/2022 4:28,negatif,"Bagaimana nih? mau transfer gagal dari kemarin, aplikasi error tidak bermutu"
Zendekala 09,1,11/22/2022 4:26,negatif,"Shopepay gak bisa dibuka , kecewa, mau dihapus saja"
Heri Setiawan,5,11/22/2022 4:25,positif,"Aplikasi dalam belanja online......lengkap, beragam pilihan harga dan produk. Fitur shopeepay juga membantu....rekomendasi....terpercaya selalu...."
Radhitya Yani,4,11/22/2022 4:23,positif,"saya sering pakai ovo, semoga semakin banyak bonusnya"
Nina Marlina,5,11/22/2022 4:23,positif,"saya puas banget dengan pelayanannya apalagi ada fitur shopeepay,,,sukses terus ya shopee,,,"
Ridwan OSP,5,11/22/2022 4:21,positif,"Terima kasih buat shopeepay sukses selalu,, mantap dan semoga sukses���"
Alif Afifah Andriani,2,11/22/2022 4:21,negatif,"Gojek versi terbaru gak menyenangkan. Gopay sering bermasalah akhir-akhir ini,, jadi malas"
Ahmad Shofian,2,11/22/2022 4:21,negatif,Untuk masalah transfer ke Lain bank kena admin 2.500 mahal banget
Widiya Lestari,1,11/22/2022 4:21,negatif,"Shopee tidak bisa dipakai padahal butuh shopeepay,, sedih"
Arsya Syabnan,5,11/22/2022 4:19,positif,Sangat membantu mengatasi rasa malas untuk bayar
palen Tina,5,11/22/2022 4:18,positif,"Sesuai dengan yg di pesan dan cepat karena pakai pembayaran shopeepay, bagus shopee"
queen keiza,5,11/22/2022 4:18,positif,"Paling suka belanja di shopee, bagus dan amanah. Shopeepay juga terpercaya,, dijamin saldo aman....."
Teguh purnama Nusantara,1,11/22/2022 4:18,negatif,"semakin pelit, sekarang mahal meskipun bayar di shopeepay"
Syisi Nanii,1,11/22/2022 4:16,negatif,"shopee sekarang banyak penjual penipu, uang shopeepay tidak dikembaikan"
Ahmad Ghofari,5,11/22/2022 4:15,positif,"membantu banyak sekali transaksi, karena setiap bulan ada fitur ""10 transfer gratis ke semua bank"""
Bening bunga,5,11/22/2022 4:12,positif,"saya sangat senang dengan dana,, mudah dipakai👍👍"
Rosid Mubaroc,5,11/22/2022 4:11,positif,"Shopee mantap, bagus, keren, shopeepay membantu saya sebagai usaha toko online"
Ardiansyag Ardiansyah,5,11/22/2022 4:11,positif,"Selalu mantap, tidak pernah mengecewakan. Shopeepay selalu jadi solusi transaksi"
Jadi Badriyah,1,11/22/2022 4:10,negatif,"Sekarang aplikasi jadi lemot, kurang efektif dan kurang stabil, mau buka shopeepay gangguan"
Elis Ariska,5,11/22/2022 4:09,positif,sangat mudah dan membantu kalau bayar tagihan online
Jamilah Fariz,5,11/22/2022 4:09,positif,Cocok sekali shopeepay digunakan untuk kalangan pemuda yang tidak mau ribet dan biasanya malas keluar..
Syakira OFFC,5,11/22/2022 4:08,positif,"Sejauh ini sangat memuaskan, pembayaran langsung lewat shopeepay"
Hendri Kemal,1,11/22/2022 4:07,negatif,isi pulsa lama tunggu sampai 1 jam.. Bayar shopeepay juga lama
na tasya,1,11/22/2022 4:07,negatif,"shopeepay semakin jelek, ada saja masalahnya kalau transfer"
Maszana Maszana,5,11/22/2022 4:06,positif,Keren.. mantap.. shopeepay keren sekali untuk digunakan pembayaran apapun..
Salon Cantik,5,11/22/2022 4:06,positif,"Bagus banget,, sering pakai shopeepay sih untuk transfer saldo, soalnya tidak ada biaya admin"
Panduu Panduu,5,11/22/2022 4:05,positif,"Fitur yang untuk Shopeepay keren mantap,, berguna sekali"
Bambang Adesucipto,5,11/22/2022 4:04,positif,"aman kalau beli barang di shopee, jika barang tidak sampai ke pelanggan, saldo bisa kembali lewat shopeepay"
agung polo,5,11/22/2022 4:02,positif,Bagus shopeepay� semoga ke depannya bisa semakin bagus lagi..
Londo Risma,3,11/22/2022 4:01,negatif,"Aplikasinya lemot buka shopeepay, jadi susah mau transfer.. Bagaimana ini?"
Elvi yanti Pasongka,5,11/22/2022 3:53,positif,"bagus banget, bisa transfer ke rekening juga"
Syahrial Syahrial,1,11/22/2022 3:53,negatif,Kenapa diperbarui tidak bisa? susah kalau mau beli dan bayar di shopeepay
Ade SlowDing,5,11/22/2022 3:52,positif,Semoga dipercaya dan menjamin saldo aman�!
mud mud,5,11/22/2022 3:51,positif,sangat membantu saya untuk menabung lewat saldo 🙏🙏🥰
Moch Junjun Apandi,2,11/22/2022 3:50,negatif,"gagal cetak struk. Padahal struk penting untuk pelanggan, apalagi kalau jual online"
Widya Veriany,3,11/22/2022 3:50,negatif,"lama banget,, padahal aplikasi ini sering dipakai karena fitur shopeepay, tapi sekarang sering eror"
PORORO COMPANY,1,11/22/2022 3:48,negatif,"Semakin susah untuk transfer, tolong diperbaiki."
Firman Ardiansyah,1,11/22/2022 3:48,negatif,Sekarang pelit bonus meskipun pakai shopeepay
Jafar Plh,4,11/22/2022 3:47,positif,sangat membantu.. Fiturnya mudah dipelajari juga
adhi articko,1,11/22/2022 3:46,negatif,"Sering eror, sistem sibuk apa setiap waktu.. Tolong diperbaiki dulu"
Andika S L,1,11/22/2022 3:43,negatif,"Layanan gojek saat ini kurang nyaman. Saldo gopay yang dikirim ke rekening lama sekali masuknya, jadi khawatir"
Ling Ling,1,11/22/2022 3:39,negatif,aplikasinya macet dan gak bisa dibuka aplikasinya. Shopeepay juga eror. 😞
Ceboll Petterson,5,11/22/2022 3:37,positif,"mantap,, bisa mengatur keuangan dengan aplikasi dana 👍"
Rryhanansa Artha Rega,1,11/22/2022 3:37,negatif,"Buruk, sekarang banyak gangguan, beli dan bayar di shopeepay harganya mahal"
Sary Permata,1,11/22/2022 3:34,negatif,"Aplikasi eror, sudah keluar, unduh lagi masih tetap gak bisa masuk, padahal perlu gopay 😡"
Andi Pangeran Wiratama,1,11/22/2022 3:33,negatif,"membuat rugi, shopeepay sudah berkurang. Sangat mengecewakan"
Hidayat Hitullah,1,11/22/2022 3:33,negatif,Tolong shopeepay kalau dibuka sekarang lemot dan banyak penjual penipu
Syofia Ramadani,3,11/22/2022 3:31,positif,"Transfer cepat, mudah, efektif dan gak ribet� coba aja pakai ovo"
Yuan Aby Muharama1999,5,11/22/2022 3:31,negatif,"Tolong segera perbaiki sistem yang sering eror, malas kalau begitu saja"
Ade Haryanto,1,11/22/2022 3:29,negatif,Ada yang transfer gak masuk padahal dari penerima sudah berhasil
aang ghozali,5,11/22/2022 3:27,positif,"Mantap semua jadi mudah karena ovo, hanya sedikit mahal"
ervanduano ernest,1,11/22/2022 3:27,negatif,"Saya isi saldo gagal, untuk laporan tidak ada solusi dari pihak ovo."
Masdum Saputra,5,11/22/2022 3:26,positif,Cukup bagus untuk transaksi dan kirim saldo
Lia Pertiwi (Lia),5,11/22/2022 3:26,negatif,"Kenapa aplikasi dana eror lagi?? padahal saldo saya masih ada, tolong uangnya gak bisa diambil 😭"
ahmed cholis,5,11/22/2022 3:26,negatif,"dana eror gak bisa masuk,, dicoba lagi tetap belum bisa"
Siti Nur aisyah,4,11/22/2022 3:21,positif,menyenangkan...melakukan transaksi jadi lebih mudah ..dan bisa untuk jualan jadi untung
Novita Novita,5,11/22/2022 3:20,positif,"kirim uang cepat dan baik,, bisa diandalkan"
